,id,title,authors,paper,presentation,best,theme,abstract
0,3,An Evaluation of UTM ConOps for Drone Deliveries: From Pre-Planned Air Corridors to Dynamic 4D Trajectories,"Lishuai Li, Xinyu He, Shuangxia Bai, Zewen Wang, Bangyan Zhang and Yinian Mao",/seminarContent/symposium1/papers/ATRDS25_full_paper_3.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_3.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems and emerging operations",
1,5,Assessing Airport Surface Traffic Performance from Open Sources of Aviation Data,"Xavier Olive, Manuel Waltert and Michael Schultz",/seminarContent/symposium1/papers/ATRDS25_full_paper_5.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_5.pdf,,ATM performance measurement and management,
2,6,Assessing Climate Impact of Contrails: Insights from Japan‚Äôs High-Density Airspace and Meteorological Conditions,"Katsuhiro Sekine, Tomoki Hasegawa, Junzi Sun and Eri Itoh",/seminarContent/symposium1/papers/ATRDS25_full_paper_6.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_6.pdf,,Environment and energy efficiency,
3,7,Impacts of ADS-B In Approach Applications during Revenue Operations,"Dan Howell, Lynn Tran, Jen King and Alejandro Rodriguez",/seminarContent/symposium1/papers/ATRDS25_full_paper_7.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_7.pdf,,ATM performance measurement and management,
4,8,Stochastic Cruise Speed Control for Time-Based Metering Under Uncertainty,"Yoshinori Matsuno, Haruki Matsuda and Noboru Takeichi",/seminarContent/symposium1/papers/ATRDS25_full_paper_8.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_8.pdf,*,"4-D Trajectory planning, prediction, and management",
5,9,Forecasting of Airline En Route Delay for Individual Flights with Supervised Learning,"Casper Dolman, Marta Ribeiro, Junzi Sun, Phillipe Lothaller, Jasper De Wilde, Alexander Piva and Frans Vossen",/seminarContent/symposium1/papers/ATRDS25_full_paper_9.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_9.pdf,,"4-D Trajectory planning, prediction, and management",
6,10,Efficient Real-Time Aircraft ETA Prediction via Feature Tokenization Transformer,"Liping Huang, Yicheng Zhang, Yifang Yin, Sheng Zhang and Yi Zhang",/seminarContent/symposium1/papers/ATRDS25_full_paper_10.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_10.pdf,,Air traffic flow management and optimization,
7,13,A Data-Driven Framework for Next-Day Traffic Forecasting at Small Airports with Multi-Scale Machine Learning,"Zhuoxuan Cao, David Lovell, Seth Young and Aaron Webb",/seminarContent/symposium1/papers/ATRDS25_full_paper_13.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_13.pdf,,"Automation, human factors, and decision support systems",
8,16,Recurrent Based Neural Network Quantile Predictions of Airport Capacity,"Benjamin Tolley, Jeremiah Budiman and James Jones",/seminarContent/symposium1/papers/ATRDS25_full_paper_16.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_16.pdf,,Weather in Air Transportation,
9,19,Unlocking Runway Capacity: Enhancing Efficiency through Dynamic Pairwise Aircraft Wake Separation,"Nana Chu, Chenliang Zhang, Kam Hung Ng and Daniel Delahaye",/seminarContent/symposium1/papers/ATRDS25_full_paper_19.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_19.pdf,,ATM performance measurement and management,
10,21,Structural predictability of large-scale aircraft interaction networks,Raúl López-Martín and Massimiliano Zanin,/seminarContent/symposium1/papers/ATRDS25_Doctoral_Paper_21.pdf,,,Doctoral papers,
11,23,Optimization-Guided Exploration of Advanced Air Mobility Congestion Management Strategies with Stochastic Demands,"Haochen Wu, Lesley Weitz, Jeffrey Henderson and Max Li",/seminarContent/symposium1/papers/ATRDS25_full_paper_23.pdf,/seminarContent/symposium1/presentations/ATRDS25_Presentation_23.pdf,,"Autonomous, unmanned and remotely piloted aircraft systems and emerging operations",
