Day,Time,Type,Event Title,Event Subtitle,Event Subtitle Link,Event Speaker,Session,Track,Room,Chair,Paper ID,Presenter,Paper Title,Paper Authors
15-Jun-26,19:00,Info,"Early registration, welcome reception",De Waag,https://www.dewaagdelft.com,,,,,,,,,
16-Jun-26,8:00,Info,Welcome and Registration,,,,,,,,,,,
16-Jun-26,8:30,Title,Welcome by Conference Chairs,,,Dirk Schaefer (EUROCONTROL) and Eric Neiderman (FAA),,,,,,,,
16-Jun-26,8:45,Info,Welcome Speeches,,,"Henri Werij (TU Delft), Jacco Hoekstra (TU Delft), and Tânia Cardoso Simões (EUROCONTROL) ",,,,,,,,
16-Jun-26,9:15,Keynote,Keynote 1,The potential of large electric aircraft for future commercial air transport,,Reynard de Vries (Elysian Aircraft),,,,,,,,
16-Jun-26,10:00,Highlight_Info,Coffee,,,,,,,,,,,
16-Jun-26,10:30,Tracks,,,,,ATM performance measurement and management I,1,A,Xavier Prats (UPC),82,Mahmoud Makhlouf,Data-Driven Assessment of DME Operational Usage in Relation to Service Volume Definitions,"Mahmoud Makhlouf (ESEO Angers), Tereza Topkova and Valeriu Vitan (EUROCONTROL)"
16-Jun-26,11:10,Tracks,,,,,ATM performance measurement and management I,1,A,Xavier Prats (UPC),78,Phillipe Lothaller,Probabilistic Forecasting of Aircraft Transit Time within a Flight Information Region: A Case Study of Schiphol Airport,"Egemen Süülker, Phillipe Lothaller, Marta Ribeiro, Junzi Sun (TU Delft), Jasper De Wilde and Alexander Piva (KLM)"
16-Jun-26,11:50,Tracks,,,,,ATM performance measurement and management I,1,A,Xavier Prats (UPC),133,Go Nam Lui,Temporal Residual Learning for Real-Time Air Traffic Complexity Forecasting,"Go Nam Lui, Guglielmo Lulli (Lancaster Unicversity) and Maria Florencia Lema Esposto (CRIDA)"
16-Jun-26,10:30,Tracks,,,,,Advanced air mobility I,2,B,David Lovell (UMd),15,Téo Chauvin,Alternative Non-homotopic Routes and Stochastic Density Estimation for UAS in Urban Airspace,"Téo Chauvin, David Gianazza, Nicolas Durand and Richard Alligier (ENAC)"
16-Jun-26,11:10,Tracks,,,,,Advanced air mobility I,2,B,David Lovell (UMd),79,Hartmut Fricke,Cooperative UAS Identification for UTM - UAS Position Accuracy Analysis of FLARM and Remote ID Technologies,"Martin Lindner, Hannes Braßel, Thomas Zeh, Mingchuan Luo and Hartmut Fricke (TU Dresden)"
16-Jun-26,11:50,Tracks,,,,,Advanced air mobility I,2,B,David Lovell (UMd),108,Elif Erkek,Enabling Scalable Vertiport Network Design via Terrain-Aware Spatial Filtering and sPCA-Based Candidate Reduction,"Elif Erkek, Martin Lindner and Hartmut Fricke (TU Dresden)"
16-Jun-26,10:30,Tracks,,,,,"Automation, Human factors, and decision support systems I",3,C,Aurélie Arntzen (University of Southern Norway),68,Clark Borst (TU Delft),Interactive Dynamic Airspace Sectorization through Human-in-the-Loop Optimization,
16-Jun-26,11:10,Tracks,,,,,"Automation, Human factors, and decision support systems I",3,C,Aurélie Arntzen (University of Southern Norway),12,Niclas Wüstenbecker (DLR),"Direct to City or ""Direct to SIDDI""? – LLM-based Auto-Correction of Unknown Waypoints for Aviation Speech Models","Oliver Ohneiser, Matthias Kleinert and Hartmut Helmke (DLR)"
